tld,tldwww
yahoo.com,www.yahoo.com
msn.com,www.msn.com
cnn.com,www.cnn.com
foxnews.com,www.foxnews.com
nytimes.com,www.nytimes.com
aol.com,www.aol.com
washingtonpost.com,www.washingtonpost.com
att.net,www.drudgereport.com
news.google.com,www.att.net
usatoday.com,www.news.google.com
huffingtonpost.com,www.usatoday.com
dailymail.co.uk,www.huffingtonpost.com
myway.com,www.dailymail.co.uk
bet.com,www.myway.com
dailykos.com,www.bet.com
wsj.com,www.dailykos.com
breitbart.com,www.wsj.com
nbcnews.com,www.breitbart.com
littlethings.com,www.nbcnews.com
theguardian.com,www.littlethings.com
cnbc.com,www.theguardian.com
latimes.com,www.cnbc.com
npr.org,www.latimes.com
nypost.com,www.npr.org
topix.com,www.nypost.com
abcnews.go.com,www.topix.com
nbc.com,www.abcnews.go.com
msnbc.com,www.nbc.com
cbsnews.com,www.msnbc.com
bbc.com,www.cbsnews.com
aol.com,www.bbc.com
worldstarhiphop.com,www.aol.com
bloomberg.com,www.worldstarhiphop.com
forbes.com,www.bloomberg.com
politico.com,www.forbes.com
247sports.com,www.politico.com
nydailynews.com,www.247sports.com
slate.com,www.nydailynews.com
chicagotribune.com,www.slate.com
msn.com,www.chicagotribune.com
windstream.net,www.msn.com
philly.com,www.windstream.net
glamour.com,www.philly.com
thehill.com,www.glamour.com
sfgate.com,www.thehill.com
pbs.org,www.sfgate.com
scribol.com,www.pbs.org
time.com,www.scribol.com
nj.com,www.time.com
thedailybeast.com,www.nj.com
cbslocal.com,www.thedailybeast.com
meaww.com,www.cbslocal.com
state.gov,www.meaww.com
boredpanda.com,www.state.gov
today.com,www.boredpanda.com
patch.com,www.today.com
realclearpolitics.com,www.patch.com
snopes.com,www.realclearpolitics.com
reuters.com,www.snopes.com
mayoclinic.org,www.reuters.com
startribune.com,www.mayoclinic.org
theblaze.com,www.startribune.com
vox.com,www.theblaze.com
bbc.co.uk,www.vox.com
theatlantic.com,www.bbc.co.uk
dailycaller.com,www.theatlantic.com
ijr.com,www.dailycaller.com
chron.com,www.ijr.com
rushlimbaugh.com,www.chron.com
newyorker.com,www.rushlimbaugh.com
cheatsheet.com,www.newyorker.com
mlive.com,www.cheatsheet.com
rawstory.com,www.mlive.com
delish.com,www.rawstory.com
newsmax.com,www.delish.com
townhall.com,www.newsmax.com
indiatimes.com,www.townhall.com
usnews.com,www.indiatimes.com
ksl.com,www.usnews.com
freep.com,www.ksl.com
telegraph.co.uk,www.freep.com
shareably.net,www.telegraph.co.uk
newsweek.com,www.shareably.net
ktla.com,www.newsweek.com
mail.ru,www.ktla.com
fivethirtyeight.com,www.mail.ru
bustle.com,www.fivethirtyeight.com
conservativetribune.com,www.bustle.com
